a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2021,3619,MEAN,3,3,1,THU,21,10,15,45,308580,402501,13,30, , , , , , , , , , 
2021,3620,CCGL,3,1,1,THU,21,10,12,45,284846,432307,2,30, , , , , , , , , , 
2021,3621,MIDU,3,2,1,THU,21,10,16,59,276239,363955,13,60, , , , , , , , , , 
2021,3622,MEAN,3,1,1,THU,21,10,17,10,338400,403827,13,30, , , , , , , , , , 
2021,3623,BELC,2,1,1,THU,21,10,17,33,327714,369213,13,30,1,1,1,11,1,1,1,1,1,1
2021,3624,BELC,3,2,1,THU,21,10,9,0,334418,378508,12,70, , , , , , , , , , 
2021,3625,NEMD,3,2,1,THU,21,10,17,30,348137,345499,13,60, , , , , , , , , , 
2021,3626,ARND,3,2,1,FRI,22,10,9,57,348094,374387,13,30, , , , , , , , , , 
2021,3627,ARND,3,2,2,FRI,22,10,11,18,350074,379371,1,30, , , , , , , , , , 
2021,3628,NEMD,3,1,1,FRI,22,10,11,19,308595,326772,2,30, , , , , , , , , , 
2021,3629,BELC,3,1,1,FRI,22,10,12,45,334311,372781,13,30, , , , , , , , , , 
2021,3630,ARBC,3,2,1,FRI,22,10,13,12,313225,345053,11,60, , , , , , , , , , 
2021,3631,BELC,3,1,1,FRI,22,10,13,0,331175,372851,13,30, , , , , , , , , , 
2021,3632,DCST,3,2,1,FRI,22,10,14,3,233829,395888,13,30, , , , , , , , , , 
2021,3633,NEMD,3,1,1,FRI,22,10,14,30,308196,326624,13,30, , , , , , , , , , 
2021,3634,LISC,3,2,1,FRI,22,10,15,27,329623,366859,12,70, , , , , , , , , , 
2021,3635,ANTN,3,2,1,FRI,22,10,15,30,314706,386893,13,30, , , , , , , , , , 
2021,3636,DCST,3,2,1,FRI,22,10,15,56,246758,418650,11,60, , , , , , , , , , 
2021,3637,ARBC,3,2,4,FRI,22,10,16,0,308126,358739,13,30, , , , , , , , , , 
2021,3638,ARBC,3,1,1,FRI,22,10,15,45,284448,334010,13,30, , , , , , , , , , 
2021,3639,ANTN,3,3,1,FRI,22,10,19,20,315172,386536,13,30, , , , , , , , , , 
2021,3640,MEAN,3,4,1,FRI,22,10,19,30,311801,398162,11,70, , , , , , , , , , 
2021,3641,NEMD,3,1,1,FRI,22,10,19,50,347104,347247,13,60, , , , , , , , , , 
2021,3642,ANTN,3,2,4,FRI,22,10,23,10,328521,390204,13,60, , , , , , , , , , 
2021,3643,BELC,3,2,6,FRI,22,10,23,37,329778,371261,13,30, , , , , , , , , , 
2021,3644,MEAN,3,1,1,SAT,23,10,0,13,305091,403701,13,60, , , , , , , , , , 
2021,3645,NEMD,3,2,1,SAT,23,10,9,10,291144,311993,13,60, , , , , , , , , , 
2021,3646,ARND,3,2,3,SAT,23,10,10,10,350806,381983,13,30, , , , , , , , , , 
2021,3647,CCGL,3,2,1,SAT,23,10,11,12,284052,415713,13,30, , , , , , , , , , 
2021,3648,DCST,3,2,2,FRI,22,10,14,10,245317,415981,13,40, , , , , , , , , , 
2021,3649,BELC,3,2,1,SAT,23,10,15,28,331314,371203,13,30, , , , , , , , , , 
2021,3650,DCST,3,2,1,SAT,23,10,16,0,250382,420639,11,70, , , , , , , , , , 
2021,3651,BELC,3,4,1,SAT,23,10,16,53,336763,374489,13,20, , , , , , , , , , 
2021,3652,BELC,3,2,1,SAT,23,10,17,0,330995,368621,13,30, , , , , , , , , , 
2021,3653,BELC,3,2,3,SAT,23,10,18,10,334358,372674,13,30, , , , , , , , , , 
2021,3654,MIDU,3,3,1,SAT,23,10,18,30,279139,370164,13,60, , , , , , , , , , 
2021,3655,BELC,3,2,1,SAT,23,10,18,51,334982,374244,13,30, , , , , , , , , , 
2021,3656,ARND,3,2,1,SAT,23,10,22,1,359707,376164,13,30, , , , , , , , , , 
2021,3657,BELC,3,2,1,SUN,24,10,1,35,335521,373594,13,30, , , , , , , , , , 
2021,3658,NEMD,2,1,1,SUN,24,10,10,15,342020,342129,13,60,10,7,1,1,2,2,6,1,1,1
2021,3659,DCST,3,1,1,SAT,23,10,14,45,244014,416080,13,30, , , , , , , , , , 
2021,3660,LISC,3,2,1,SUN,24,10,12,39,315898,361268,13,60, , , , , , , , , , 
2021,3661,ARBC,3,2,1,SUN,24,10,14,10,310520,359046,13,60, , , , , , , , , , 
2021,3662,BELC,3,2,1,SUN,24,10,18,39,334368,372634,13,30, , , , , , , , , , 
